Year,Geography,Parent_Code_1,Parent_Code_2,Org_Code,Contract_Type,Age_Group,Gender,Dentist_Count
2011-12,1.National,ENG,,,Mixed,35-44,F,201
2011-12,1.National,ENG,,,Mixed,Under 35,F,398
2011-12,1.National,ENG,,,PDS,35-44,F,317
2011-12,1.National,ENG,,,TDS,35-44,M,73
2011-12,1.National,ENG,,,TDS,45-54,F,217
2011-12,1.National,ENG,,,TDS,Under 35,M,62
2011-12,1.National,ENG,,,GDS,35-44,F,2178
2011-12,1.National,ENG,,,GDS,45-54,M,2745
2011-12,1.National,ENG,,,GDS,55+,M,1904
2011-12,1.National,ENG,,,GDS,Under 35,F,3778
2011-12,1.National,ENG,,,Mixed,45-54,F,96
2011-12,1.National,ENG,,,Mixed,55+,F,30
2011-12,1.National,ENG,,,PDS,45-54,F,243
2011-12,1.National,ENG,,,PDS,55+,F,96
2011-12,1.National,ENG,,,PDS,Under 35,F,369
2011-12,1.National,ENG,,,TDS,55+,F,135
2011-12,1.National,ENG,,,GDS,55+,F,452
2011-12,1.National,ENG,,,Mixed,45-54,M,223
2011-12,1.National,ENG,,,Mixed,Under 35,M,434
2011-12,1.National,ENG,,,PDS,35-44,M,309
2011-12,1.National,ENG,,,PDS,45-54,M,345
2011-12,1.National,ENG,,,PDS,Under 35,M,234
2011-12,1.National,ENG,,,TDS,35-44,F,224
2011-12,1.National,ENG,,,TDS,45-54,M,103
2011-12,1.National,ENG,,,TDS,55+,M,101
2011-12,1.National,ENG,,,TDS,Under 35,F,194
2011-12,1.National,ENG,,,GDS,35-44,M,2421
2011-12,1.National,ENG,,,GDS,45-54,F,1269
2011-12,1.National,ENG,,,GDS,Under 35,M,3087
2011-12,1.National,ENG,,,Mixed,35-44,M,306
2011-12,1.National,ENG,,,Mixed,55+,M,138
2011-12,1.National,ENG,,,PDS,55+,M,238
2011-12,2.NHS England Region,Y61,,,PDS,55+,M,47
2011-12,2.NHS England Region,Y61,,,GDS,45-54,M,385
2011-12,2.NHS England Region,Y63,,,GDS,45-54,M,435
2011-12,2.NHS England Region,Y56,,,PDS,45-54,M,46
